year,month,threshold,prec,evap,in_degree,out_degree,clustering,ffl
2089,6,1.0,54.47493905592715,,0.7644230769230769,0.7644230769230769,0.032222418340206796,1.53125
2089,6,1.14,54.47493905592715,,0.5408653846153846,0.5408653846153846,0.02756505647130647,0.8918269230769231
2089,6,1.5,54.47493905592715,,0.2668269230769231,0.2668269230769231,0.015544871794871793,0.37740384615384615
2089,7,1.0,32.244964335607136,,0.2956730769230769,0.2956730769230769,0.012499999999999999,0.4495192307692308
2089,7,1.14,32.244964335607136,,0.21153846153846154,0.21153846153846154,0.010136217948717947,0.2932692307692308
2089,7,1.5,32.244964335607136,,0.0889423076923077,0.0889423076923077,0.002804487179487179,0.10817307692307693
2089,8,1.0,20.96241873348396,,0.19230769230769232,0.19230769230769232,0.009014423076923076,0.27884615384615385
2089,8,1.14,20.96241873348396,,0.12980769230769232,0.12980769230769232,0.0010016025641025638,0.16105769230769232
2089,8,1.5,20.96241873348396,,0.04567307692307692,0.04567307692307692,0.0,0.055288461538461536
2089,9,1.0,24.44076812679684,,0.31009615384615385,0.31009615384615385,0.0164596688034188,0.47115384615384615
2089,9,1.14,24.44076812679684,,0.21875,0.21875,0.006982600732600732,0.2980769230769231
2089,9,1.5,24.44076812679684,,0.10096153846153846,0.10096153846153846,0.0,0.11538461538461539
2089,10,1.0,58.82342062172392,,1.7596153846153846,1.7596153846153846,0.08152887818591334,3.9158653846153846
2089,10,1.14,58.82342062172392,,1.3677884615384615,1.3677884615384615,0.06252342173757613,2.6346153846153846
2089,10,1.5,58.82342062172392,,0.6586538461538461,0.6586538461538461,0.02773103632478632,0.9591346153846154
2089,11,1.0,136.53507561934555,,5.5,5.5,0.2224520168344801,20.896634615384617
2089,11,1.14,136.53507561934555,,4.449519230769231,4.449519230769231,0.19665650945688803,14.44951923076923
2089,11,1.5,136.53507561934555,,2.90625,2.90625,0.12785252651850515,6.975961538461538
2089,12,1.0,164.1008390829788,,5.509615384615385,5.509615384615385,0.24104195776141024,19.927884615384617
2089,12,1.14,164.1008390829788,,4.516826923076923,4.516826923076923,0.21877670573049324,14.045673076923077
2089,12,1.5,164.1008390829788,,2.7860576923076925,2.7860576923076925,0.11830966097439512,6.240384615384615
2090,1,1.0,128.81094353343366,,4.689903846153846,4.689903846153846,0.18720275821986193,16.85096153846154
2090,1,1.14,128.81094353343366,,3.7427884615384617,3.7427884615384617,0.15429263381547018,11.372596153846153
2090,1,1.5,128.81094353343366,,2.331730769230769,2.331730769230769,0.09293892163605408,5.4110576923076925
2090,2,1.0,98.91639254687958,,3.1201923076923075,3.1201923076923075,0.11271491689670318,9.216346153846153
2090,2,1.14,98.91639254687958,,2.3990384615384617,2.3990384615384617,0.08356812199458481,6.09375
2090,2,1.5,98.91639254687958,,1.3966346153846154,1.3966346153846154,0.05438334702156817,2.6899038461538463
2090,3,1.0,152.77007312230242,,4.7451923076923075,4.7451923076923075,0.21423868829543707,15.20673076923077
2090,3,1.14,152.77007312230242,,3.766826923076923,3.766826923076923,0.18466686610111485,10.014423076923077
2090,3,1.5,152.77007312230242,,2.3966346153846154,2.3966346153846154,0.10111456163138853,4.774038461538462
2090,4,1.0,149.3690357657845,,4.471153846153846,4.471153846153846,0.20381234545228716,13.78125
2090,4,1.14,149.3690357657845,,3.5552884615384617,3.5552884615384617,0.16807859535701786,9.13701923076923
2090,4,1.5,149.3690357657845,,2.0841346153846154,2.0841346153846154,0.09486078157953157,3.862980769230769
2090,5,1.0,118.27630224580918,,2.514423076923077,2.514423076923077,0.1279382444504316,6.831730769230769
2090,5,1.14,118.27630224580918,,2.0408653846153846,2.0408653846153846,0.10289885270795904,4.971153846153846
2090,5,1.5,118.27630224580918,,1.2139423076923077,1.2139423076923077,0.050660157150541764,2.264423076923077
2090,6,1.0,57.64490001658856,,0.8557692307692307,0.8557692307692307,0.03685166329397098,1.7235576923076923
2090,6,1.14,57.64490001658856,,0.6346153846153846,0.6346153846153846,0.030124389499389496,1.1033653846153846
2090,6,1.5,57.64490001658856,,0.3125,0.3125,0.017267628205128203,0.44711538461538464
2090,7,1.0,33.62915082013789,,0.31971153846153844,0.31971153846153844,0.016294642857142858,0.5024038461538461
2090,7,1.14,33.62915082013789,,0.2283653846153846,0.2283653846153846,0.009775641025641026,0.3317307692307692
2090,7,1.5,33.62915082013789,,0.09615384615384616,0.09615384615384616,0.002804487179487179,0.11538461538461539
2090,8,1.0,21.029906404816547,,0.18509615384615385,0.18509615384615385,0.007411858974358972,0.2668269230769231
2090,8,1.14,21.029906404816547,,0.1201923076923077,0.1201923076923077,0.0,0.14423076923076922
2090,8,1.5,21.029906404816547,,0.05048076923076923,0.05048076923076923,0.0,0.06009615384615385
2090,9,1.0,24.965706665249034,,0.3317307692307692,0.3317307692307692,0.016613247863247863,0.5024038461538461
2090,9,1.14,24.965706665249034,,0.23798076923076922,0.23798076923076922,0.007225847069597068,0.32211538461538464
2090,9,1.5,24.965706665249034,,0.11057692307692307,0.11057692307692307,0.002003205128205128,0.12740384615384615
2090,10,1.0,58.41276480124998,,1.71875,1.71875,0.07787451589286848,3.8798076923076925
2090,10,1.14,58.41276480124998,,1.3076923076923077,1.3076923076923077,0.05963211468019159,2.5841346153846154
2090,10,1.5,58.41276480124998,,0.6754807692307693,0.6754807692307693,0.027118627899877897,0.9879807692307693
2090,11,1.0,134.69028397831212,,5.552884615384615,5.552884615384615,0.21438882859479638,21.995192307692307
2090,11,1.14,134.69028397831212,,4.46875,4.46875,0.19216598496079776,15.09375
2090,11,1.5,134.69028397831212,,2.9110576923076925,2.9110576923076925,0.12391303147825063,7.064903846153846
2090,12,1.0,167.79794548267907,,5.622596153846154,5.622596153846154,0.23882656427648108,20.466346153846153
2090,12,1.14,167.79794548267907,,4.625,4.625,0.22010210127027896,14.564903846153847
2090,12,1.5,167.79794548267907,,2.8725961538461537,2.8725961538461537,0.12602583086533878,6.492788461538462
2091,1,1.0,126.85823056264869,,4.572115384615385,4.572115384615385,0.17025478394236868,16.016826923076923
2091,1,1.14,126.85823056264869,,3.706730769230769,3.706730769230769,0.14412139090749704,11.274038461538462
2091,1,1.5,126.85823056264869,,2.262019230769231,2.262019230769231,0.09415956576731463,5.158653846153846
2091,2,1.0,109.46253964766551,,3.6274038461538463,3.6274038461538463,0.1349638222278548,11.149038461538462
2091,2,1.14,109.46253964766551,,2.8221153846153846,2.8221153846153846,0.10140780581783938,7.3798076923076925
2091,2,1.5,109.46253964766551,,1.6947115384615385,1.6947115384615385,0.06538015368084654,3.4158653846153846
2091,3,1.0,153.23266185534177,,4.793269230769231,4.793269230769231,0.2186960640825087,15.552884615384615
