lat,lon,mean_annual_prec,std_annual_prec,mean_annual_evap,std_annual_evap
-8.952879581151834,-75.0,1740.468920784949,533.7926706777196,1262.6818153488566,60.441966283896704
-8.010471204188482,-75.0,1427.0612807851319,444.6934517540201,1279.020264844643,53.44921405462728
-7.0680628272251305,-75.0,1436.5860771089492,462.53310203328124,1274.471941637923,56.8466653628912
-6.12565445026178,-75.0,1559.6130468448446,485.96788383983846,1280.021452719695,63.40977923631114
-5.183246073298429,-75.0,1714.905377696741,516.5862762105064,1255.6524379563925,72.35011038669236
-4.2408376963350785,-75.0,1886.2560720966355,572.6385341374832,1221.8003441707988,81.50752985335352
-3.298429319371728,-75.0,1995.3316755219885,617.680733055303,1207.9647239002807,86.49500700911344
-2.356020942408377,-75.0,2046.3735797302281,655.387475015824,1206.6270736437582,87.0171680752425
-1.4136125654450262,-75.0,2048.7372311702134,674.7001306039818,1209.3794159061508,83.41716536830884
-0.4712041884816754,-75.0,1968.30468282621,657.5651967906177,1233.5650880506437,73.38304635559425
0.4712041884816754,-75.0,1859.254605758385,646.9202105694042,1258.6367116029141,63.72281916377357
1.4136125654450262,-75.0,2205.532332108601,694.2661959594383,1200.0259413494496,73.20197998928113
2.356020942408377,-75.0,2510.5436378761974,739.3918845898044,1097.2607337667578,87.60661093570711
-14.607329842931941,-73.75,693.5979640976919,325.57455584518357,458.9708467382336,147.71679445343543
-13.664921465968591,-73.75,1242.487655135924,367.5684353902993,674.24795207022,105.78409480216224
-12.72251308900524,-73.75,2700.4465781276676,568.7351518491773,832.9401538011589,101.86390309685112
-11.780104712041888,-73.75,2730.4582376436574,732.482666835983,1013.1014120227337,80.81518847688113
-10.837696335078537,-73.75,2104.5648599547085,614.6148321283572,1169.5622662951355,65.61179250738606
-9.895287958115185,-73.75,1680.859019668143,488.86437378121593,1231.2860821287031,56.28706114189878
-8.952879581151834,-73.75,1513.5914907922022,421.68490007162126,1247.0010752316448,58.208180158082705
-8.010471204188482,-73.75,1496.008563367774,425.9843113097079,1239.5119270102296,62.4684944437961
-7.0680628272251305,-73.75,1620.6199088243484,474.5306741528745,1241.0470087468566,66.78766176579839
-6.12565445026178,-73.75,1744.8550932746625,524.0670549613814,1241.9844339870033,69.19430465220744
-5.183246073298429,-73.75,1832.249356076863,556.5602696629094,1248.6680570815515,71.02850013666492
-4.2408376963350785,-73.75,1928.1683835907204,589.9534712062214,1243.8773878112552,71.9242617124811
-3.298429319371728,-73.75,2019.119682933308,650.8371209010436,1230.6434143171355,75.88612040902889
-2.356020942408377,-73.75,2042.130515319125,672.1165951546766,1227.962425725942,77.33593628855088
-1.4136125654450262,-73.75,2055.7751395020255,672.1121488883342,1209.3978331149265,80.84057584479655
-0.4712041884816754,-73.75,2088.177925150417,686.701416157649,1201.4644874538935,79.39593264883389
0.4712041884816754,-73.75,2076.574484154102,699.0039036821331,1212.4431367130892,75.81092005940127
1.4136125654450262,-73.75,2004.8096353858311,690.517926434159,1259.8927158167353,67.2209694165883
-14.607329842931941,-72.5,1077.967942175461,427.0762580209624,492.05667092591466,47.76237702094737
-13.664921465968591,-72.5,1913.9379614626712,449.87535834134036,694.0074091734765,99.7989324774974
-12.72251308900524,-72.5,2785.7639433405257,627.5745749448281,891.7805408160405,112.42333427655329
-11.780104712041888,-72.5,2306.4862169063363,611.9616125702914,1117.3374404323404,68.57890159460888
-10.837696335078537,-72.5,1663.9961917157555,455.2783755333563,1197.2923907853838,61.538827413361886
-9.895287958115185,-72.5,1531.229547255407,414.4481446827491,1212.9237563165661,62.31494423365526
-8.952879581151834,-72.5,1537.1843715027917,423.41929006359976,1229.3032156741829,60.66009555670112
-8.010471204188482,-72.5,1615.1876724379415,463.44829167292164,1249.3361728021991,58.871938376169616
-7.0680628272251305,-72.5,1717.5099104030087,499.5013788426322,1248.7174289832765,60.42587797250023
-6.12565445026178,-72.5,1824.624633695053,537.4755711812851,1242.5939279103186,63.23075999282864
-5.183246073298429,-72.5,1959.8375952227088,578.5127929055399,1242.4029720641265,66.95656123645479
-4.2408376963350785,-72.5,2092.2677767065034,634.4363307051577,1238.9348389277584,72.01230669550976
-3.298429319371728,-72.5,2168.9896117893363,676.7587441114924,1245.2664504259592,72.39917410330835
-2.356020942408377,-72.5,2222.0131003353654,714.712403497422,1232.0344366194913,73.73980936904631
-1.4136125654450262,-72.5,2225.306087097595,702.5755808266285,1215.1095344969071,76.45160093789477
-0.4712041884816754,-72.5,2207.503151099387,701.8395383988355,1205.7943423388642,76.3634400386388
0.4712041884816754,-72.5,2222.671565236523,737.4597016367956,1192.5271650071663,78.00149691239707
1.4136125654450262,-72.5,2269.679931013075,763.4383015708336,1201.0678227368044,76.95265651092912
-14.607329842931941,-71.25,1331.3357639284463,426.625014123057,499.19489285886084,45.10736342728099
-13.664921465968591,-71.25,2484.0363450635696,577.4789589866566,803.7045997357855,95.54485198743012
