year,threshold,prec,evap,in_degree,out_degree,clustering,ffl
2079,1.5,143.71839111891939,94.54777812012019,2.5727163461538463,2.5727163461538463,0.11334259954851406,7.913261217948717
2080,1.0,142.2029758511847,94.30843976334803,4.813100961538462,4.813100961538462,0.16697557833180868,23.151241987179485
2080,1.14,142.2029758511847,94.30843976334803,3.921875,3.921875,0.14967935789856002,16.141626602564102
2080,1.5,142.2029758511847,94.30843976334803,2.5244391025641026,2.5244391025641026,0.11067522603594974,7.6852964743589745
2081,1.0,139.99197465790024,94.09111154614607,4.720753205128205,4.720753205128205,0.16444113301340277,22.49939903846154
2081,1.14,139.99197465790024,94.09111154614607,3.8185096153846154,3.8185096153846154,0.14763449720396618,15.49619391025641
2081,1.5,139.99197465790024,94.09111154614607,2.477564102564102,2.4775641025641026,0.10847598366722526,7.487780448717948
2082,1.0,140.92719001780148,94.04506105488235,4.797475961538462,4.797475961538462,0.16589912295646997,22.96414262820513
2082,1.14,140.92719001780148,94.04506105488235,3.8677884615384617,3.8677884615384617,0.14927035949499967,15.764623397435896
2082,1.5,140.92719001780148,94.04506105488235,2.503405448717949,2.503405448717949,0.11025580123086912,7.575320512820513
2083,1.0,140.0224185257197,93.87566494374093,4.731570512820513,4.731570512820513,0.16565792316473982,22.451722756410255
2083,1.14,140.0224185257197,93.87566494374093,3.8263221153846154,3.8263221153846154,0.14798807876357573,15.528445512820513
2083,1.5,140.0224185257197,93.87566494374093,2.4735576923076925,2.4735576923076925,0.10845902067217904,7.434294871794871
2084,1.0,138.02217827281956,93.84918158667385,4.5568910256410255,4.5568910256410255,0.1611376795327202,21.107572115384617
2084,1.14,138.02217827281956,93.84918158667385,3.6810897435897436,3.6810897435897436,0.14401788427578222,14.565705128205128
2084,1.5,138.02217827281956,93.84918158667385,2.3800080128205128,2.3800080128205128,0.10510365945899257,7.005208333333333
2085,1.0,133.60756152165598,93.50218434679599,4.2946714743589745,4.2946714743589745,0.1542647780241467,19.35877403846154
2085,1.14,133.60756152165598,93.50218434679599,3.4867788461538463,3.4867788461538463,0.13848873746619947,13.520833333333334
2085,1.5,133.60756152165598,93.50218434679599,2.2319711538461537,2.2319711538461537,0.09838869893932797,6.389623397435898
2086,1.0,136.25763327636838,93.60463452155622,4.395833333333334,4.395833333333334,0.1577484652680446,20.07051282051282
2086,1.14,136.25763327636838,93.60463452155622,3.569511217948718,3.569511217948718,0.14132610434123125,13.991185897435896
2086,1.5,136.25763327636838,93.60463452155622,2.305488782051282,2.305488782051282,0.10160277081165334,6.708934294871795
2087,1.0,136.77305104783335,93.74982807294114,4.419070512820513,4.419070512820513,0.15842896952491436,20.330528846153847
2087,1.14,136.77305104783335,93.74982807294114,3.595753205128205,3.595753205128205,0.14195786099682384,14.22295673076923
2087,1.5,136.77305104783335,93.74982807294114,2.30088141025641,2.30088141025641,0.10304745979305041,6.6905048076923075
2088,1.0,137.20145157261896,93.86572501954109,4.407251602564103,4.407251602564103,0.15891516120710378,20.412059294871792
2088,1.14,137.20145157261896,93.86572501954109,3.5807291666666665,3.5807291666666665,0.14044762451095763,14.257411858974358
2088,1.5,137.20145157261896,93.86572501954109,2.288261217948718,2.288261217948718,0.10161281541967626,6.7079326923076925
2089,1.0,135.7430846815341,93.97657839235418,4.323717948717949,4.323717948717949,0.15684314687078157,19.783453525641026
2089,1.14,135.7430846815341,93.97657839235418,3.5054086538461537,3.5054086538461537,0.13897557908964425,13.780649038461538
2089,1.5,135.7430846815341,93.97657839235418,2.237580128205128,2.237580128205128,0.0992733722181143,6.4639423076923075
2090,1.0,136.86539102719132,93.9541315681731,4.33613782051282,4.33613782051282,0.1565584509200505,19.799078525641026
2090,1.14,136.86539102719132,93.9541315681731,3.512019230769231,3.512019230769231,0.13861886611932317,13.752804487179487
2090,1.5,136.86539102719132,93.9541315681731,2.2403846153846154,2.2403846153846154,0.0987668187184051,6.437299679487179
2091,1.0,138.3176756061743,94.0508102128466,4.3962339743589745,4.3962339743589745,0.1578570619880456,20.063301282051285
2091,1.14,138.3176756061743,94.0508102128466,3.5530849358974357,3.5530849358974357,0.1406448432609659,13.874399038461538
2091,1.5,138.3176756061743,94.0508102128466,2.2682291666666665,2.2682291666666665,0.10003117345379124,6.5160256410256405
2092,1.0,137.69738869462546,94.03516594060794,4.382211538461538,4.382211538461538,0.1583459730132957,20.018028846153847
2092,1.14,137.69738869462546,94.03516594060794,3.560296474358974,3.560296474358974,0.1397410847671893,14.03886217948718
2092,1.5,137.69738869462546,94.03516594060794,2.2772435897435894,2.2772435897435894,0.10084378949887471,6.613982371794871
2093,1.0,137.17668175451462,94.10686208150422,4.333934294871795,4.333934294871795,0.1555427489494478,19.842147435897438
2093,1.14,137.17668175451462,94.10686208150422,3.5298477564102564,3.5298477564102564,0.13905295018842764,13.892628205128204
2093,1.5,137.17668175451462,94.10686208150422,2.2479967948717947,2.2479967948717947,0.10051662040071048,6.532251602564102
2094,1.0,136.55233581108152,93.85835129411797,4.350360576923077,4.350360576923077,0.15503537654671595,20.03866185897436
2094,1.14,136.55233581108152,93.85835129411797,3.529246794871795,3.529246794871795,0.13894367519127257,13.93329326923077
2094,1.5,136.55233581108152,93.85835129411797,2.259014423076923,2.259014423076923,0.10043752587938326,6.579326923076923
2095,1.0,138.24466987829598,93.96354272505634,4.436298076923077,4.436298076923077,0.1578585095008229,20.600360576923077
2095,1.14,138.24466987829598,93.96354272505634,3.5859375,3.5859375,0.13973532850837636,14.23076923076923
2095,1.5,138.24466987829598,93.96354272505634,2.3042868589743586,2.3042868589743586,0.10119710230309967,6.779447115384615
2096,1.0,137.00131942613322,93.82431624713543,4.387419871794872,4.387419871794872,0.15738265442430127,20.188301282051285
2096,1.14,137.00131942613322,93.82431624713543,3.5388621794871797,3.5388621794871797,0.1382938626448563,13.890625
2096,1.5,137.00131942613322,93.82431624713543,2.2758413461538463,2.2758413461538463,0.10032370274922561,6.607371794871795
2097,1.0,135.2896650302486,93.39188907032529,4.268429487179487,4.268429487179487,0.1550096765333811,19.282652243589745
2097,1.14,135.2896650302486,93.39188907032529,3.4415064102564106,3.4415064102564106,0.1359398379527142,13.291866987179485
2097,1.5,135.2896650302486,93.39188907032529,2.2137419871794872,2.2137419871794872,0.09553920851725882,6.322716346153846
2098,1.0,135.11589106512128,93.28319160411456,4.283253205128205,4.283253205128205,0.1542835407471142,19.364983974358974
2098,1.14,135.11589106512128,93.28319160411456,3.448517628205128,3.448517628205128,0.13654653003772282,13.333333333333334
2098,1.5,135.11589106512128,93.28319160411456,2.2171474358974357,2.2171474358974357,0.09658751377854057,6.337740384615385
2099,1.0,134.51467327783797,93.01498879075356,4.290264423076923,4.290264423076923,0.15322486696823903,19.494591346153847
2099,1.14,134.51467327783797,93.01498879075356,3.451121794871795,3.451121794871795,0.13565704243867074,13.389222756410257
2099,1.5,134.51467327783797,93.01498879075356,2.2033253205128203,2.2033253205128203,0.0970699900355713,6.3076923076923075
